$BUILT 2012-05-28 20:59:26
$AUTHOR Ben Bryant
$GERMAN 
$ENGLISH Lix Cannon

#SIZE_X 1280
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 50
#REQUIRED 50
#SPAWN_INTERVAL 28
#SPAWN_INTERVAL_FAST 4

#CLIMBER 1
#FLOATER 1
#BATTER 1
#BLOCKER 1
#BUILDER 0
#BASHER 6
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/construction/Hatch.H: 128 64
:geoo/construction/Hatch.H: 416 64

:geoo/construction/Goal2.G: 1104 64

:geoo/steel/dark_32x32o.S: 224 144
:geoo/steel/dark_32x32o.S: 224 176
:geoo/steel/dark_32x32o.S: 224 208
:geoo/steel/dark_32x32o.S: 224 240
:geoo/construction/rod_rust/straight32: 208 56
:geoo/construction/rod_rust/straight32: 240 56
:geoo/steel/dark_32x32o.S: 224 80
:geoo/steel/dark_32x32o.S: 320 144
:geoo/steel/dark_32x32o.S: 320 176
:geoo/construction/rod_rust/straight_diagd32: 288 176
:geoo/steel/dark_32x32o.S: 320 208
:geoo/steel/dark_32x32o.S: 320 240
:geoo/construction/rod_rust/straight32: 304 56
:geoo/construction/rod_rust/straight32: 336 56
:geoo/steel/dark_32x32o.S: 320 80
:geoo/construction/rod_rust/straight32: 256 144
:geoo/construction/rod_rust/straight32: 288 144
:geoo/construction/rod_rust/straight_diagd32: 256 144
:geoo/construction/rod_rust/straight_diagd32: 288 240
:geoo/construction/rod_rust/straight32: 256 208
:geoo/construction/rod_rust/straight32: 288 208
:geoo/construction/rod_rust/straight_diagd32: 256 208
:geoo/steel/dark_32x16o.S: 320 272
:geoo/construction/rod_rust/straight_diagd32: 288 304
:geoo/construction/rod_rust/straight32: 256 272
:geoo/construction/rod_rust/straight32: 288 272
:geoo/construction/rod_rust/straight_diagd32: 256 272
:geoo/steel/dark_32x32o.S: 224 272
:geoo/construction/rod_rust/straight32: 320 336
:geoo/construction/rod_rust/straight32: 352 336
:geoo/steel/dark_16x16o.S: 240 112
:geoo/steel/dark_16x16o.S: 320 112
:geoo/construction/wall/small_64x64: 352 128
:geoo/construction/wall/small_64x64: 480 128
:geoo/construction/wall/small_64x64: 544 96
:geoo/construction/rod_rust/straight_diagu32: 656 96
:geoo/construction/wall/small_64x64: 608 64
:geoo/construction/rod_rust/straight_diagu32: 656 128
:geoo/construction/rod_rust/straight_diagu32: 656 160
:geoo/construction/wall/small_64x64: 608 128
:geoo/construction/wall/small_64x32: 608 192
:geoo/construction/wall/small_64x32: 672 64
:geoo/construction/rod_rust/straight_diagu32: 688 128
:geoo/construction/rod_rust/straight_diagu32: 720 128
:geoo/construction/rod_rust/straight_diagu32: 688 160
:geoo/construction/rod_rust/straight_diagu32: 720 160
:geoo/construction/wall/small_64x32: 672 192
:geoo/construction/wall/small_64x32: 736 64
:geoo/construction/rod_rust/straight_diagu32: 784 128
:geoo/construction/rod_rust/straight_diagu32: 752 128
:geoo/construction/rod_rust/straight_diagu32: 752 160
:geoo/construction/rod_rust/straight_diagu32: 776 168
:geoo/construction/wall/small_64x32: 736 192
:geoo/construction/rod_rust/straight_diagu32: 784 96
:geoo/construction/wall/small_64x64: 800 64
:geoo/construction/wall/small_64x64: 800 128
:geoo/construction/rod_rust/straight32: 672 96
:geoo/construction/rod_rust/straight_diagu32: 688 96
:geoo/construction/rod_rust/straight32: 704 96
:geoo/construction/rod_rust/straight_diagu32: 720 96
:geoo/construction/rod_rust/straight32: 736 96
:geoo/construction/rod_rust/straight_diagu32: 752 96
:geoo/construction/rod_rust/straight32: 768 96
:geoo/construction/rod_rust/straight32: 672 184
:geoo/construction/rod_rust/straight32: 704 184
:geoo/construction/rod_rust/straight32: 736 184
:geoo/construction/rod_rust/straight32: 768 184
:geoo/construction/wall/small_64x64: 544 160
:geoo/construction/wall/small_64x32: 800 192
:geoo/construction/wall/small_64x32: 416 128
:geoo/construction/wall/big_diag_bu: 416 160
:geoo/construction/wall/big_diag_bu: 352 192
:geoo/construction/wall/big_diag_bd: 448 160
:geoo/construction/wall/big_diag_bd: 512 192
:geoo/construction/rod_rust/straight32: 384 336
:geoo/construction/rod_rust/straight32: 416 336
:geoo/construction/rod_rust/straight32: 448 336
:geoo/construction/rod_rust/straight32: 480 336
:geoo/construction/rod_rust/straight32: 512 336
:geoo/construction/wall/small_brickdiag_tu: 320 128
:geoo/construction/wall/small_brickdiag_td: 224 128
:geoo/steel/dark_32x32o.S: 224 48
:geoo/steel/dark_32x32o.S: 320 48
:geoo/construction/wall/big_brickdiag_tu: 688 0 rrr
:geoo/construction/wall/big_brickdiag_td: 752 0 r
:geoo/construction/wall/big_brick1: 720 0 rrr
:geoo/construction/wall/small_64x64: 864 96
:geoo/construction/wall/small_64x32: 928 128
:geoo/construction/wall/small_64x32: 992 128
:geoo/construction/wall/small_64x32: 1056 128
:geoo/construction/wall/small_64x32: 1120 128
:geoo/construction/wall/small_64x32: 96 128
:geoo/construction/wall/small_64x32: 160 128
:geoo/construction/rod_rust/straight32: 544 336
:geoo/construction/rod_rust/straight32: 576 336
:geoo/construction/rod_rust/straight32: 608 336
:geoo/construction/rod_rust/straight32: 640 336
:geoo/construction/rod_rust/straight32: 672 336
:geoo/construction/rod_rust/straight32: 704 336
:geoo/construction/rod_rust/straight32: 736 336
