$BUILT 2014-05-15 22:39:47
$AUTHOR geoo
$GERMAN 
$ENGLISH Confusing Fractals

#SIZE_X 640
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X -128
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 50
#REQUIRED 10
#SPAWN_INTERVAL 16
#SPAWN_INTERVAL_FAST 4

#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#EXPLODER2 40
#BASHER 40
#MINER 40
#DIGGER 40
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/abstract/hatch.H: 224 30

:geoo/abstract/goal.G: 384 342

:geoo/construction/concrete/128: 256 134
:geoo/construction/concrete/064: 320 70
:geoo/construction/concrete/064: 192 134
:geoo/construction/concrete/064: 256 262
:geoo/construction/concrete/064: 384 198
:geoo/construction/concrete/032: 352 38
:geoo/construction/concrete/032: 384 102
:geoo/construction/concrete/032: 288 70
:geoo/construction/concrete/032: 224 102
:geoo/construction/concrete/032: 160 134
:geoo/construction/concrete/032: 192 198
:geoo/construction/concrete/032: 224 262
:geoo/construction/concrete/032: 256 326
:geoo/construction/concrete/032: 320 294
:geoo/construction/concrete/032: 384 262
:geoo/construction/concrete/032: 448 230
:geoo/construction/concrete/032: 416 166
:geoo/construction/concrete/016: 368 22
:geoo/construction/concrete/016: 336 38
:geoo/construction/concrete/016: 384 54
:geoo/construction/concrete/016: 304 54
:geoo/construction/concrete/016: 272 70
:geoo/construction/concrete/016: 288 102
:geoo/construction/concrete/016: 240 86
:geoo/construction/concrete/016: 208 102
:geoo/construction/concrete/016: 144 134
:geoo/construction/concrete/016: 160 166
:geoo/construction/concrete/016: 176 118
:geoo/construction/concrete/016: 256 118
:geoo/construction/concrete/016: 384 134
:geoo/construction/concrete/016: 416 118
:geoo/construction/concrete/016: 400 86
:geoo/construction/concrete/016: 432 150
:geoo/construction/concrete/016: 400 166
:geoo/construction/concrete/016: 448 182
:geoo/construction/concrete/016: 480 246
:geoo/construction/concrete/016: 464 214
:geoo/construction/concrete/016: 448 262
:geoo/construction/concrete/016: 384 294
:geoo/construction/concrete/016: 416 278
:geoo/construction/concrete/016: 368 262
:geoo/construction/concrete/016: 256 358
:geoo/construction/concrete/016: 288 342
:geoo/construction/concrete/016: 240 326
:geoo/construction/concrete/016: 352 310
:geoo/construction/concrete/016: 336 278
:geoo/construction/concrete/016: 320 326
:geoo/construction/concrete/016: 208 262
:geoo/construction/concrete/016: 240 246
:geoo/construction/concrete/016: 224 294
:geoo/construction/concrete/016: 192 230
:geoo/construction/concrete/016: 224 214
:geoo/construction/concrete/016: 176 198
:geoo/construction/concrete/008: 376 14
