$BUILT 2013-07-21 22:07:05
$AUTHOR geoo
$GERMAN 
$ENGLISH Confusing Fractals

#SIZE_X 384
#SIZE_Y 384
#TORUS_X 1
#TORUS_Y 1
#START_X 256
#START_Y 368
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 80
#REQUIRED 60
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#WALKER 20
#NOTHING 0
#BASHER 20
#MINER 20
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/abstract/hatch.H: 0 320

:geoo/abstract/goal.G: 336 320

:geoo/construction/concrete/128: 112 128
:geoo/construction/concrete/064: 176 64
:geoo/construction/concrete/064: 48 128
:geoo/construction/concrete/064: 112 256
:geoo/construction/concrete/064: 240 192
:geoo/construction/concrete/032: 208 32
:geoo/construction/concrete/032: 240 96
:geoo/construction/concrete/032: 144 64
:geoo/construction/concrete/032: 80 96
:geoo/construction/concrete/032: 16 128
:geoo/construction/concrete/032: 48 192
:geoo/construction/concrete/032: 80 256
:geoo/construction/concrete/032: 112 320
:geoo/construction/concrete/032: 176 288
:geoo/construction/concrete/032: 240 256
:geoo/construction/concrete/032: 304 224
:geoo/construction/concrete/032: 272 160
:geoo/construction/concrete/016: 224 16
:geoo/construction/concrete/016: 192 32
:geoo/construction/concrete/016: 240 48
:geoo/construction/concrete/016: 160 48
:geoo/construction/concrete/016: 128 64
:geoo/construction/concrete/016: 144 96
:geoo/construction/concrete/016: 96 80
:geoo/construction/concrete/016: 64 96
:geoo/construction/concrete/016: 0 128
:geoo/construction/concrete/016: 16 160
:geoo/construction/concrete/016: 32 112
:geoo/construction/concrete/016: 112 112
:geoo/construction/concrete/016: 240 128
:geoo/construction/concrete/016: 272 112
:geoo/construction/concrete/016: 256 80
:geoo/construction/concrete/016: 288 144
:geoo/construction/concrete/016: 256 160
:geoo/construction/concrete/016: 304 176
:geoo/construction/concrete/016: 336 240
:geoo/construction/concrete/016: 320 208
:geoo/construction/concrete/016: 304 256
:geoo/construction/concrete/016: 240 288
:geoo/construction/concrete/016: 272 272
:geoo/construction/concrete/016: 224 256
:geoo/construction/concrete/016: 112 352
:geoo/construction/concrete/016: 144 336
:geoo/construction/concrete/016: 96 320
:geoo/construction/concrete/016: 208 304
:geoo/construction/concrete/016: 192 272
:geoo/construction/concrete/016: 176 320
:geoo/construction/concrete/016: 64 256
:geoo/construction/concrete/016: 96 240
:geoo/construction/concrete/016: 80 288
:geoo/construction/concrete/016: 48 224
:geoo/construction/concrete/016: 80 208
:geoo/construction/concrete/016: 32 192
:geoo/abstract/cvblocks/000: 232 8
