$BUILT 2014-05-15 18:30:01
$AUTHOR geoo
$GERMAN 
$ENGLISH Have another try

#SIZE_X 640
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 20
#REQUIRED 18
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#CLIMBER 2
#WALKER 2
#JUMPER 1
#NOTHING 0
#BLOCKER 1
#EXPLODER2 1
#NOTHING 0
#BASHER 1
#MINER 2
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/construction/Hatch.H: 112 272

:geoo/construction/Goal2.G: 560 96

:geoo/construction/sawblade_small.F: 224 128

:geoo/construction/wall/small_64x64: 192 208
:geoo/construction/wall/small_64x64: 192 272
:geoo/construction/wall/small_64x64: 192 336
:geoo/construction/wall/small_64x64: 160 368
:geoo/construction/wall/small_64x64: 128 368
:geoo/construction/wall/small_64x64: 64 368
:geoo/construction/wall/small_diag_tu: 80 352
:geoo/construction/wall/small_diag_tu: 64 336
:geoo/construction/wall/small_brick1: 48 352
:geoo/construction/wall/small_64x64: 0 208
:geoo/construction/wall/small_64x64: 0 272
:geoo/construction/wall/small_64x64: 0 336
:geoo/construction/wall/small_64x64: 0 16
:geoo/construction/wall/small_64x64: 0 80
:geoo/construction/wall/small_64x64: 0 144
:geoo/construction/wall/small_64x64: 192 144
:geoo/construction/wall/small_64x64: 224 208
:geoo/construction/wall/small_64x64: 224 272
:geoo/construction/wall/small_64x64: 224 336
:geoo/construction/wall/small_64x64: 224 144
:geoo/construction/wall/small_64x64: 288 272
:geoo/construction/wall/small_64x64: 288 336
:geoo/construction/wall/small_64x64: 352 272
:geoo/construction/wall/small_64x64: 352 336
:geoo/construction/wall/small_64x64: 384 208
:geoo/construction/wall/small_64x64: 384 272
:geoo/construction/wall/small_64x64: 384 336
:geoo/construction/wall/small_64x64: 384 144
:geoo/construction/wall/small_64x64: 416 208
:geoo/construction/wall/small_64x64: 416 272
:geoo/construction/wall/small_64x64: 416 336
:geoo/construction/wall/small_64x64: 416 144
:geoo/construction/wall/small_64x64: 384 -48
:geoo/construction/wall/small_64x64: 384 16
:geoo/construction/wall/small_64x64: 384 80
:geoo/construction/wall/small_64x64: 416 -48
:geoo/construction/wall/small_64x64: 416 16
:geoo/construction/wall/small_64x64: 416 80
:geoo/construction/wall/small_64x64: 480 336
:geoo/construction/wall/small_64x64: 544 336
:geoo/construction/wall/small_64x64: 480 272
:geoo/construction/wall/small_64x64: 544 272
:geoo/construction/wall/small_64x64: 480 176
:geoo/construction/wall/small_64x64: 544 176
:geoo/construction/wall/small_64x64: 288 208
:geoo/construction/wall/small_64x64: 352 208
:geoo/construction/wall/small_64x64: 480 240
:geoo/construction/wall/small_64x64: 544 240
:geoo/steel/32x32o.S: 224 176
:geoo/steel/32x32o.S: 416 144
:geoo/construction/wall/small_64x64: 608 336
:geoo/construction/wall/small_64x64: 608 272
:geoo/construction/wall/small_64x64: 608 176
:geoo/construction/wall/small_64x64: 608 240
:geoo/construction/wall/small_64x64: 464 160
:geoo/construction/wall/small_64x64: 528 160
:geoo/construction/wall/small_64x64: 592 160
:geoo/construction/wall/small_diag_td: 176 336
:geoo/construction/wall/small_diag_td: 160 352
:geoo/construction/wall/small_brick1: 176 352
:geoo/construction/wall/small_square: 208 192
:geoo/construction/wall/small_square: 256 192
:geoo/construction/wall/small_square: 400 160
:geoo/construction/wall/small_square: 448 160
