60;100-built-by-lixes.txt;100% Built by Lixes;ccx;;5;2.9;5-28;;;;;.
34;100waystodie.txt;100 Ways to Die;geoo;;2;1.1;1-28;There are 5 walkers and 5 lix to save, do the math.;Man, you should try out those squishers at the right!;;;.
13;3111.txt;3.1.1.1;Insane Steve;backroute!;6;3;6-33;;;;;.
186;6gaps.txt;6 Gaps, 5 Builders;mobius;;2;1.1;3-03;"A wise man once said; ""you have six gaps but only five builders"" ...that's all he said.";"What do you do when you get up in the morning? Hint: ""stretch"".";You only need builders. The other skills are decoy.;;.
243;absolutezero.txt;Absolute Zero;mobius;;6;4;?;The fall from this pillar is too high, so a climber bomb is in order. You can bomb either the first or the second to last lix.;Though there is no time limit, when avoiding these traps you musn't delay, but if your lix are walking over the top you're going the wrong way!;You'll need to contain the crowd temporarily to keep them from going over top. Spacing your lix is critical here.;You may have been playing and found you had an extra basher, I wonder what that's for?;.
219;acompletelyridiculous.txt;A Completely Ridiculous Level;Nortaneous;;3;1.5;?;;;;;.
218;alienabduction.txt;Alien Abduction;geoo;;2;1;?;;;;;.
3;alieninvasion.txt;Alien Invasion;geoo;;4;2.7;?;;;;;.
259;allover.txt;All Over the Place;minimac;design?;3;2;?;;;;;.
130;alternative.txt;Alternative Methods Recommended;Insane Steve;;1;0.1;1-13;;;;;.
131;alternative2.txt;Alternative Methods Required;I.S./geoo;;4;2.1;?;;;;;.
35;amatterofperspective.txt;A Matter of Perspective;Insane Steve;;5;2.9;5-38;;;;;.
245;anotherfuneral.txt;Another Funeral;mobius;;3;1.7;3-33;;;;;.
36;anotherlixinthewall.txt;Another Lix in the Wall;Nortaneous;;2;1.7;2-08;;;;;.
132;anyway.txt;Any Way You Want;Insane Steve;;1;0;1-01;You can do this with one blocker, builder, <br>basher, miner, or digger, in some way. ;Or just floaters or climbers. ;Or even bombers, but that's the hard way. <br>If your first inclination was to use bombers, <br>I'd recommend psychiatric help. ;If you're still stuck, I can't really tell <br>you anything else but to go back to the tutorials <br>and study how each task works. <br>They don't get easier than this >_<;.
92;ascending.txt;Ascending and Descending;Michael;;6;3;6-18;CHALLENGE 1: Use only one platformer.;CHALLENGE 2: Don't build any bridges in the room where the upper lix start.;;;.
8;atoweringprop.txt;A Towering Proposition;Insane Steve;;4;2.3;4-28;;;;;.
61;babylonfading.txt;Babylon Fading;mobius;;3;2;3-38;To the edge of the cliff and to the edge of death, the lix are chasing.<br><br>A feeting freedom from the emptiness and is babylon fading.;;;;.
197;backslash.txt;Backslash;geoo;;4;2.6;?;Your miner has to begin and finish at the same horizontal position.;Remember, blockers turn everything around.;;;.
282;bashingandbuilding.txt;Bashing & Building;Nepster;;5;2.8;?;You have enough builders to path the way to the top of the left block.;... and you can avoid that builder turn around!;;;.
37;behindbars.txt;Behind Bars;Michael;;6;3.3;7-08;Lix have a way of slipping through your fingers.<br>But you can sometimes pick them back up again.;;;;.
221;betchacantsave.txt;Betcha Can't Save Just One!;Insane Steve;;5;2.8;6-08;;;;;.
246;bipolar.txt;Bipolar Maniac;Insane Steve;;6;3.2;7-13;This level requires a bit of tricky timing. Perhaps moreso than you realize. Good thing for replay and fast forward.;What, you think that bar at the top of the level is there for decoration?;What else is there to do to stop the crowd but place a blocker and use a bomber to remove it?;;.
261;blocked.txt;Blocked by a Snowball;minimac;;1;0.1;?;;;;;.
187;boxset.txt;Box Set;Michael;;2;1.5;3-28;Don't panic.;Keep pausing to take a look over the whole level.<br>Up to 40 lix can die, so there's plenty of margin for error.;;;.
88;breackout.txt;Breackout;ccx/geoo;;3;2.2;;;;;;.
283;brickout.txt;Brickout;ccx;;6;4;?;;;;;.
222;brutefours.txt;Brute Fours;Michael;check;5;3;?;;;;;.
134;buildingblock.txt;Building Block Maze;Insane Steve;;1;0.2;1-13;;;;;.
2;bulldozer.txt;Bulldozer;geoo;;5;3.1;?;To ease execution, I recommend sending about 20 climbers to the RIGHT at a rate of roughly 3 climbers per second, until the first one has reached the top of the left wall.;;;;.
82;buridan.txt;Buridan's Lix;Michael;backroutes?;5;2.9;6-08;It's possible to reach either exit.;;;;.
40;buyonegetonefree1.txt;Buy One Get One Free (Part 1);geoo;;4;2.4;3-08;You shouldn't just take what you get for free, you should do something with it!;There are multiple solutions here, but one of them involves bypassing the exit that they just keep walking in.;;;.
41;buyonegetonefree2.txt;Buy One Get One Free (Part 2);geoo;;4;2.8;?;How changing just one skill can make this level so different, eh?;The lack of a blocker makes mining from right to left gets a bit tricky now, huh?;Good you have a basher to get around that. Now if only you could separate someone from the crowd…;;.
135;cantreachit.txt;Can't Reach it - Don't Need it;geoo;;2;1.5;2-23;You don't really need the bottom exit.;You can't get around building over the lava pit with the first lix.<br>How do you prevent the second lix from falling into it if you don't want to waste your walker?;Fun fact: the title is a lie!<br>You can actually save everyone into the bottom exit!;;.
83;changing.txt;Changing of the Guards;Michael;;5;2.9;6-03;It helps if you get all the lix out as fast as possible.;;;;.
84;chargeofthelix.txt;Charge of the Lix Brigade;Michael;;1;1;1-18;The bomber isn't part of the solution. It's just there<br>so that the level gives you fling-bombers when you nuke.<br>Because that's awesome.;;;;.
85;chasm.txt;Chasm;Insane Steve;ease execution?;5;3;?;;;;;.
136;climbtofreedom.txt;Climb to Freedom!;mobius;;1;0.7;1-13;;;;;.
30;closetotheedge.txt;Close to the Edge;Michael;;6;2.9;6-38;This level has two solutions, a western and an eastern one.;;;;.
188;coldironsbound.txt;Cold Irons Bound;mobius;;3;1.6;5-03;There are two solutions, one uses floaters, the other doesn't.;There are two solutions, one has the builder turn around, the other doesn't.;There are two solutions, one ends with a broken icicle, the other doesn't.;;.
31;comeondown.txt;Come on Down to My Place;Michael;;3;2.2;3-08;There are two solutions, using the L on the left or the L on the right.;;;;.
42;compressionmethod2.txt;Compression Method 2;Michael;;3;1.8;4-08;Try tweaking the spawn interval to group the lix as tightly as possible.;The ideal spawn interval is the same as the width in pixels of the holding cell.<br>(The width of a cube is 16 pixels, if that helps.);;;.
63;conundrum.txt;Conundrum;mobius;;5;2.5;5-18;You have 1 builder to bridge the gap so what is the other one for? It's not there for decoration.;When the builder places her mortar, she does not look beneath her.;You can changed the spawn interval at any time during play.;;.
